일자,시가,고가,저가,종가,익일기준가,전일대비,내재변동성 (%),거래량 (계약),거래대금 (백만원),미결제약정 (계약),거래승수
"2017/12/14","0.01","0.03","0.01",0.01,"0.00","-0.01","17.00","136,046","407","0","250,000"
"2017/12/13","0.02","0.06","0.01",0.01,"0.01","-0.01","15.00","153,234","983","61,336","250,000"
"2017/12/12","0.03","0.03","0.01",0.02,"0.02","-0.01","16.00","117,619","622","68,283","250,000"
"2017/12/11","0.06","0.07","0.03",0.03,"0.03","-0.10","13.00","126,720","1,354","83,540","250,000"
"2017/12/08","0.15","0.18","0.06",0.06,"0.13","0.00","11.00","222,376","6,752","81,820","250,000"
"2017/12/07","0.24","0.24","0.12",0.13,"0.13","-0.08","13.00","267,779","10,611","75,488","250,000"
"2017/12/06","0.71","0.73","0.17",0.21,"0.21","-0.52","13.00","355,624","33,626","63,129","250,000"
"2017/12/05","0.38","0.94","0.36",0.73,"0.73","0.09","11.00","278,113","45,762","56,582","250,000"
"2017/12/04","0.41","0.67","0.33",0.64,"0.64","0.21","11.00","205,155","23,896","50,976","250,000"
"2017/12/01","0.55","0.59","0.33",0.35,"0.43","-0.97","11.00","180,551","21,218","51,596","250,000"
"2017/11/30","0.92","1.06","0.37",0.43,"1.40","0.00","11.00","273,501","47,513","47,485","250,000"
"2017/11/29","1.59","1.97","1.30",1.40,"1.40","0.00","10.00","116,095","44,378","33,698","250,000"
"2017/11/28","1.36","1.63","0.93",1.40,"1.40","0.19","10.00","174,435","57,245","31,054","250,000"
"2017/11/27","3.66","3.76","1.21",1.21,"1.21","-2.01","10.00","117,768","53,765","28,330","250,000"
"2017/11/24","3.42","3.61","2.81",3.55,"3.22","0.00","9.00","30,031","24,141","19,232","250,000"
"2017/11/23","4.02","4.02","3.11",3.22,"3.22","-0.63","10.00","20,113","17,287","18,032","250,000"
"2017/11/22","3.95","4.89","3.40",3.85,"3.85","0.79","10.00","25,106","24,806","17,218","250,000"
"2017/11/21","3.11","3.62","2.67",3.06,"3.06","0.50","10.00","59,193","46,050","17,378","250,000"
"2017/11/20","3.59","3.86","2.50",2.56,"2.56","-0.98","9.00","46,447","34,601","17,650","250,000"
"2017/11/17","4.18","5.73","3.24",3.24,"3.54","0.00","9.00","39,271","43,369","16,041","250,000"
"2017/11/16","3.02","3.83","2.77",3.54,"3.54","0.76","9.00","43,908","36,091","15,620","250,000"
"2017/11/15","3.43","3.49","2.66",2.78,"2.78","-0.96","10.00","72,495","53,763","14,795","250,000"
"2017/11/14","3.91","4.13","3.40",3.74,"3.74","-0.27","10.00","23,222","21,538","10,760","250,000"
"2017/11/13","4.75","5.60","3.85",4.01,"4.01","-1.64","10.00","9,405","10,096","9,357","250,000"
"2017/11/10","4.66","5.42","4.58",4.71,"5.65","0.00","9.00","5,420","6,729","8,008","250,000"
"2017/11/09","7.34","7.34","5.02",5.65,"5.65","-1.36","10.00","1,092","1,650","7,472","250,000"
"2017/11/08","5.90","7.85","5.55",7.01,"7.01","0.63","12.00","874","1,430","7,184","250,000"
"2017/11/07","6.70","7.30","6.24",6.38,"6.38","-0.32","12.00","645","1,097","6,915","250,000"
