일자,시가,고가,저가,종가,익일기준가,전일대비,내재변동성 (%),거래량 (계약),거래대금 (백만원),미결제약정 (계약),거래승수
"2017/12/14","0.15","1.61","0.01",0.01,"0.00","-0.13","5.00","1,199,858","142,492","0","250,000"
"2017/12/13","0.13","0.36","0.05",0.13,"0.13","0.02","12.00","511,855","21,040","67,724","250,000"
"2017/12/12","0.30","0.33","0.10",0.11,"0.11","-0.20","13.00","327,176","13,358","64,438","250,000"
"2017/12/11","0.50","0.52","0.25",0.31,"0.31","-0.26","12.00","261,033","22,928","56,121","250,000"
"2017/12/08","0.65","0.77","0.44",0.46,"0.57","0.00","11.00","210,613","32,034","46,907","250,000"
"2017/12/07","0.92","0.92","0.45",0.57,"0.57","-0.24","13.00","333,592","52,931","50,426","250,000"
"2017/12/06","2.56","2.57","0.73",0.81,"0.81","-1.76","13.00","205,056","73,667","51,065","250,000"
"2017/12/05","1.50","2.92","1.30",2.57,"2.57","0.52","12.00","170,653","93,247","34,716","250,000"
"2017/12/04","1.43","2.12","1.10",2.05,"2.05","0.67","11.00","180,115","66,990","36,126","250,000"
"2017/12/01","1.57","1.73","1.12",1.14,"1.38","-2.21","11.00","152,709","55,112","33,066","250,000"
"2017/11/30","2.48","2.90","1.15",1.38,"3.59","0.00","11.00","153,199","77,003","29,323","250,000"
"2017/11/29","3.89","4.59","3.33",3.59,"3.59","-0.01","11.00","18,894","17,843","20,780","250,000"
"2017/11/28","3.24","3.96","2.54",3.60,"3.60","0.69","10.00","45,482","37,260","19,740","250,000"
"2017/11/27","7.00","7.10","2.91",2.91,"2.91","-3.47","10.00","14,849","13,576","17,254","250,000"
"2017/11/24","6.51","7.02","5.84",7.02,"6.38","0.00","10.00","239","383","14,555","250,000"
"2017/11/23","7.51","7.51","6.20",6.38,"6.38","-0.84","10.00","657","1,111","14,526","250,000"
"2017/11/22","7.36","8.50","6.60",7.22,"7.22","1.11","10.00","1,024","1,856","14,665","250,000"
"2017/11/21","6.12","6.80","5.47",6.11,"6.11","0.87","11.00","1,019","1,530","14,578","250,000"
"2017/11/20","6.80","7.00","5.16",5.24,"5.24","-1.42","9.00","1,322","1,901","14,531","250,000"
"2017/11/17","7.59","9.50","6.25",6.28,"6.66","0.00","9.00","1,695","3,507","14,364","250,000"
"2017/11/16","6.00","7.06","5.52",6.66,"6.66","1.16","10.00","1,057","1,660","14,178","250,000"
"2017/11/15","6.28","6.46","5.28",5.50,"5.50","-0.99","10.00","2,436","3,522","13,940","250,000"
"2017/11/14","7.09","7.33","6.40",6.49,"6.49","-0.71","10.00","563","984","13,616","250,000"
"2017/11/13","8.80","9.20","7.00",7.20,"7.20","-2.08","11.00","441","842","13,728","250,000"
"2017/11/10","7.92","8.86","7.85",8.22,"9.28","0.00","10.00","506","1,060","13,671","250,000"
