일자,시가,고가,저가,종가,익일기준가,전일대비,내재변동성 (%),거래량 (계약),거래대금 (백만원),미결제약정 (계약),거래승수
"2017/12/14","0.01","0.01","0.01",0.01,"0.00","-0.01","38.00","2,274","6","0","250,000"
"2017/12/13","0.01","0.01","0.01",0.01,"0.01","0.00","29.00","816","2","71,239","250,000"
"2017/12/12","0.01","0.01","0.01",0.01,"0.01","0.00","26.00","559","1","71,477","250,000"
"2017/12/11","0.01","0.01","0.01",0.01,"0.01","0.00","21.00","1,639","4","71,603","250,000"
"2017/12/08","0.01","0.02","0.01",0.01,"0.01","0.00","16.00","26,121","65","72,101","250,000"
"2017/12/07","0.02","0.02","0.01",0.01,"0.01","-0.01","16.00","17,322","56","83,779","250,000"
"2017/12/06","0.04","0.04","0.01",0.02,"0.02","-0.02","16.00","74,000","438","79,813","250,000"
"2017/12/05","0.03","0.07","0.02",0.04,"0.04","0.00","12.00","121,213","1,323","73,128","250,000"
"2017/12/04","0.03","0.05","0.02",0.04,"0.04","0.00","12.00","62,556","483","74,203","250,000"
"2017/12/01","0.06","0.06","0.03",0.03,"0.04","-0.12","13.00","80,381","885","75,705","250,000"
"2017/11/30","0.10","0.11","0.04",0.04,"0.16","0.00","13.00","168,670","3,137","73,836","250,000"
"2017/11/29","0.18","0.24","0.15",0.16,"0.16","0.00","11.00","63,889","2,819","68,612","250,000"
"2017/11/28","0.18","0.21","0.11",0.16,"0.16","-0.03","11.00","129,893","5,121","67,160","250,000"
"2017/11/27","0.64","0.64","0.19",0.19,"0.19","-0.29","12.00","192,903","15,332","62,718","250,000"
"2017/11/24","0.53","0.59","0.43",0.59,"0.48","0.00","10.00","78,306","9,844","56,952","250,000"
"2017/11/23","0.71","0.71","0.48",0.48,"0.48","-0.20","10.00","82,609","11,698","53,884","250,000"
"2017/11/22","0.72","1.00","0.58",0.68,"0.68","0.18","10.00","168,130","31,067","54,449","250,000"
"2017/11/21","0.50","0.63","0.42",0.50,"0.50","0.12","10.00","99,508","12,652","53,946","250,000"
"2017/11/20","0.59","0.71","0.38",0.38,"0.38","-0.27","9.00","114,503","14,209","54,793","250,000"
"2017/11/17","0.86","1.30","0.55",0.55,"0.65","0.00","9.00","175,660","39,526","48,281","250,000"
"2017/11/16","0.50","0.75","0.44",0.65,"0.65","0.19","9.00","105,277","15,525","44,173","250,000"
"2017/11/15","0.60","0.65","0.43",0.46,"0.46","-0.23","10.00","112,809","14,642","42,013","250,000"
"2017/11/14","0.80","0.88","0.65",0.69,"0.69","-0.13","10.00","82,411","15,252","39,260","250,000"
"2017/11/13","1.10","1.33","0.82",0.82,"0.82","-0.79","10.00","105,922","25,956","33,519","250,000"
"2017/11/10","1.13","1.40","1.03",1.06,"1.61","0.00","9.00","91,349","27,424","29,746","250,000"
"2017/11/09","2.31","2.43","1.40",1.61,"1.61","-0.67","10.00","26,148","11,717","20,594","250,000"
"2017/11/08","1.77","2.73","1.69",2.28,"2.28","0.20","11.00","10,484","5,722","17,113","250,000"
